match_id,date_time,stadium,venue,match_info,home_team,away_team,HT,FT,2ET,PEN
300331495,19 Jun 2018 - 21:00,Saint Petersburg Stadium,St. Petersburg,Group A,RUS,EGY,0-0,3-1,,
300331496,20 Jun 2018 - 21:00,Kazan Arena,Kazan,Group B,IRN,ESP,0-0,0-1,,
300331497,22 Jun 2018 - 18:00,Volgograd Arena,Volgograd,Group D,NGA,ISL,0-0,2-0,,
300331498,01 Jul 2018 - 21:00,Nizhny Novgorod Stadium,Nizhny Novgorod,Round of 16,CRO,DEN,1-1,1-1,1-1,3-2
300331499,18 Jun 2018 - 15:00,Nizhny Novgorod Stadium,Nizhny Novgorod,Group F,SWE,KOR,0-0,1-0,,
300331500,25 Jun 2018 - 21:00,Mordovia Arena,Saransk,Group B,IRN,POR,0-1,1-1,,
300331501,23 Jun 2018 - 21:00,Fisht Stadium,Sochi,Group F,GER,SWE,0-1,2-1,,
300331502,17 Jun 2018 - 18:00,Luzhniki Stadium,Moscow,Group F,GER,MEX,0-1,0-1,,
300331503,14 Jun 2018 - 18:00,Luzhniki Stadium,Moscow,Group A,RUS,KSA,2-0,5-0,,
300331504,07 Jul 2018 - 21:00,Fisht Stadium,Sochi,Quarter-finals,RUS,CRO,1-1,1-1,2-2,3-4
300331505,24 Jun 2018 - 20:00,Ekaterinburg Arena,Ekaterinburg,Group H,JPN,SEN,1-1,2-2,,
300331506,26 Jun 2018 - 17:00,Fisht Stadium,Sochi,Group C,AUS,PER,0-1,0-2,,
300331507,28 Jun 2018 - 17:00,Volgograd Arena,Volgograd,Group H,JPN,POL,0-0,0-1,,
300331508,24 Jun 2018 - 21:00,Kazan Arena,Kazan,Group H,POL,COL,0-1,0-3,,
300331509,25 Jun 2018 - 17:00,Volgograd Arena,Volgograd,Group A,KSA,EGY,1-1,2-1,,
300331510,26 Jun 2018 - 21:00,Rostov Arena,Rostov-On-Don,Group D,ISL,CRO,0-0,1-2,,
300331511,20 Jun 2018 - 15:00,Luzhniki Stadium,Moscow,Group B,POR,MAR,1-0,1-0,,
300331512,26 Jun 2018 - 17:00,Luzhniki Stadium,Moscow,Group C,DEN,FRA,0-0,0-0,,
300331513,21 Jun 2018 - 21:00,Nizhny Novgorod Stadium,Nizhny Novgorod,Group D,ARG,CRO,0-0,0-3,,
300331514,03 Jul 2018 - 17:00,Saint Petersburg Stadium,St. Petersburg,Round of 16,SWE,SUI,0-0,1-0,,
300331515,16 Jun 2018 - 16:00,Spartak Stadium,Moscow,Group D,ARG,ISL,1-1,1-1,,
300331516,25 Jun 2018 - 18:00,Samara Arena,Samara,Group A,URU,RUS,2-0,3-0,,
300331517,01 Jul 2018 - 17:00,Luzhniki Stadium,Moscow,Round of 16,ESP,RUS,1-1,1-1,1-1,3-4
300331518,21 Jun 2018 - 16:00,Samara Arena,Samara,Group C,DEN,AUS,1-1,1-1,,
