description,temperature,wind_speed,humid,match_id
Clear Night,17,15,49,300331513
Sunny,32,2,19,300331497
Clear Night,24,7,17,300331554
Sunny,32,10,26,300331530
Sunny,27,12,38,300331550
Partly Cloudy,20,24,33,300331511
Clear Night,18,26,48,300331496
Cloudy,18,11,75,300331531
Partly Cloudy Night,15,13,70,300340184
Partly Cloudy,33,11,28,300331549
Sunny,22,11,33,300331515
Cloudy,27,19,40,300331545
Sunny,36,13,24,300331507
Clear Night,20,13,43,300331534
Partly Cloudy,25,13,37,300331526
Partly Cloudy,30,15,33,300331546
Partly Cloudy,17,6,43,300331503
Partly Cloudy,18,12,48,300331528
Partly Cloudy,24,11,34,300331512
Sunny,33,14,28,300331535
Clear Night,24,12,70,300331504
Cloudy,21,6,64,300331522
Sunny,27,18,42,300331548
Clear Night,26,8,58,300331508
Partly Cloudy Night,25,16,27,300331525
Sunny,22,18,32,300331529
Partly Cloudy,14,29,42,300353632
Sunny,32,6,34,300331516
Clear Night,20,7,60,300331520
Partly Cloudy,28,12,64,300331547
Partly Cloudy Night,25,15,48,300331498
Clear Night,27,11,74,300331544
Sunny,21,11,61,300340182
Partly Cloudy Night,20,9,60,300331538
Sunny,22,18,45,300331519
Cloudy,12,21,79,300331527
Sunny,25,26,38,300331505
Partly Cloudy,27,3,51,300331552
Partly Cloudy,25,9,36,300331499
Clear Night,25,9,36,300331551
Partly Cloudy,35,10,24,300331509
Partly Cloudy,26,7,39,300331541
Sunny,23,11,42,300331502
Partly Cloudy,26,10,45,300331536
Clear Night,30,21,38,300331510
Partly Cloudy,24,12,71,300331539
Cloudy,18,7,61,300331542
Partly Cloudy Night,23,9,70,300331500
Partly Cloudy Night,24,10,74,300331524
Partly Cloudy,20,7,64,300331523
Sunny,24,25,32,300331518
Cloudy,15,14,83,300331495
Partly Cloudy,24,12,42,300331521
Partly Cloudy,18,10,60,300331514
Sunny,15,11,55,300340183
Sunny,27,21,34,300331553
Sunny,28,18,40,300331532
Partly Cloudy Night,22,11,80,300331501
Cloudy,19,19,70,300331540
Sunny,19,19,32,300331533
Partly Cloudy,22,13,53,300331543
Sunny,28,12,33,300331537
Partly Cloudy,24,13,63,300331517
Partly Cloudy,30,10,70,300331506
